Contrast: Hatched Egg_Unhatched Egg,,,,,,,,
,,,,,,,,
,average,sd,ratio,ava,avb,cumsum,p,
d3c25a17251d966efda9c704331bde28,0.0010065,0.0023051,0.4366,0.002,0.001,0.85095,0.237,
1233469547a3370da46025c54bac53d6,0.0009936,0.0012967,0.7663,0.002,0.001,0.853,0.088,
dde22b90f700123702e4889ec0ba7039,0.0009915,0.0021562,0.4598,0.000,0.002,0.85504,0.292,
822d636d9c57d4a7bebb281e5dfaed9f,0.0009738,0.0015285,0.6371,0.001,0.001,0.85705,0.846,
700f7ae7cd3b3c89de9523dc050adf74,0.0009458,0.0010274,0.9205,0.002,0.001,0.859,0.006,
02c9292683676d5a105454964336f5c5,0.0009358,0.0017527,0.5339,0.002,0.000,0.86092,0.095,
c8f6357bd32659bec6ff119a48cd0f4a,0.0008902,0.0032869,0.2708,0.000,0.001,0.86276,0.618,
e314931f1c7cad13aec2759b85ee4273,0.0008857,0.0021848,0.4054,0.001,0.001,0.86458,0.391,
c94a7d7e3f2dce0b4d4c4f6f849eb878,0.000878,0.0019812,0.4432,0.001,0.002,0.86639,0.228,
b1cff4530233b484b21ca6db52c5d257,0.0008632,0.003454,0.2499,0.000,0.002,0.86817,0.585,
4fdfa62fd97e871b7cc284a180983816,0.0008574,0.0037136,0.2309,0.000,0.002,0.86994,0.486,
013a7cbf5b7e0420b7c397ee8052b8c6,0.0008555,0.0028725,0.2978,0.002,0.000,0.8717,0.239,
334e1b08a0d169bc507c922d0ae22e75,0.0008341,0.0006478,1.2875,0.004,0.002,0.87342,0.001,
f9ffd13fb0d667bd1a0f977536c0b67a,0.0007937,0.0035535,0.2234,0.000,0.002,0.87506,1,
59375a0311570a3cef40087d4b6c42b4,0.0007762,0.0020458,0.3794,0.002,0.000,0.87666,0.239,
e0ebea8fc0446d4854b48dd95db67e21,0.0007745,0.0013142,0.5893,0.001,0.001,0.87825,0.317,
787a3df59922afc90301151ea01b7c7b,0.000771,0.0022019,0.3501,0.001,0.001,0.87984,0.635,
6731bc05c8ba7ada6bf032d14af05613,0.0007657,0.00115,0.6658,0.001,0.002,0.88142,0.004,
cbe32a1d7325e3bb3bdfe21d3569364b,0.0007611,0.001638,0.4646,0.000,0.001,0.88299,0.042,
081f42427bf6cf3bb2471f4efec3520e,0.0007496,0.000495,1.5144,0.003,0.002,0.88453,0.005,
183056127a3f94bc828fd23062dd9465,0.000745,0.0033354,0.2234,0.000,0.001,0.88607,1,
062daff76602f04235c2d39d58315162,0.0007389,0.0005871,1.2586,0.003,0.002,0.88759,0.001,
ca9895ffec4072e8a8056f95071a6ae0,0.0007206,0.0005297,1.3604,0.003,0.002,0.88908,0.018,
a50e46127e32d57c3f21c21f1d4a7297,0.0006542,0.0004733,1.3822,0.003,0.002,0.89042,0.039,
e965315323c00eac43896c84313b6d2b,0.0006458,0.0028912,0.2234,0.000,0.001,0.89175,1,
45c35f88d8f9100b01f525861192d0fc,0.0006284,0.0014645,0.4291,0.000,0.001,0.89305,0.663,
71cd8596df4c7dd9ad798c07c7800f87,0.0006279,0.0005328,1.1785,0.002,0.001,0.89434,0.001,
9d269259a4b457c44d62d9196b4adcda,0.0006027,0.0013228,0.4556,0.001,0.000,0.89559,0.368,
610a48e1e2e6635df613b88712801f10,0.0005851,0.0009949,0.5881,0.000,0.001,0.89679,0.01,
7685cb95fa77d91b70afb46485ac20a6,0.0005805,0.0009258,0.627,0.001,0.001,0.89799,0.104,
e1801d16ed073d91a82e5d9c33d350dc,0.0005716,0.002012,0.2841,0.000,0.001,0.89917,0.458,
fa73781222ed3d0cecfdd7d5a9c64c50,0.0005683,0.000681,0.8346,0.001,0.001,0.90034,0.169,
d1099e14450efe720a6b5844b64c63b6,0.0005681,0.0004214,1.3481,0.003,0.002,0.90151,0.021,
39fbf2d4f0cb244eba3eac49681f1143,0.0005427,0.0008795,0.617,0.001,0.001,0.90263,0.504,
21dbf322b7a11b1414c4c4b994c0e180,0.0005397,0.0010926,0.494,0.000,0.001,0.90374,0.441,
118629f17ba5b27b952564e511572f42,0.0005356,0.002398,0.2234,0.000,0.001,0.90484,1,
f15b54332828ff106639873084622867,0.0005288,0.0008693,0.6083,0.001,0.001,0.90593,0.893,
016a38c286f8bd0508e89e6f23300f08,0.0005104,0.0004435,1.1509,0.001,0.000,0.90698,0.001,
4fdf505d8472abc92c3e8910c331f75d,0.0005039,0.0016355,0.3081,0.000,0.001,0.90802,0.222,
ac6639741476abec934aac289e8e7564,0.0004925,0.0005887,0.8365,0.002,0.001,0.90904,0.007,
65d6acbe6b2b3ef2abf0065a9ec98d99,0.0004721,0.0012621,0.374,0.000,0.001,0.91001,0.47,
897dd8ea412c989952efe128d28ae545,0.0004716,0.0011584,0.4072,0.000,0.001,0.91098,0.099,
a3e4812b21dfb4d85852ff5dc5984d90,0.0004693,0.0010072,0.4659,0.000,0.001,0.91195,0.028,
2a6b1783800bf5a1fbfb781e36f7590a,0.0004639,0.0015571,0.2979,0.000,0.001,0.91291,0.486,
a671a93551491834013445037e1d192b,0.0004597,0.0010486,0.4384,0.001,0.000,0.91385,0.169,
2ecfaff1d363d6ecd75287907f39b79e,0.0004538,0.0012037,0.377,0.001,0.000,0.91479,0.834,
942d4f79ab6da48e55cc43660fbe0888,0.0004527,0.0012059,0.3754,0.001,0.000,0.91572,0.261,
ba681173f9e471605ad9e4cfd1b864e0,0.0004513,0.0019529,0.2311,0.000,0.001,0.91665,1,
d1f0127aea231d51e8b758009c917a61,0.0004492,0.0015739,0.2854,0.000,0.001,0.91758,0.034,
baa4ef1d1a13fc40f49ed5be9bae17f2,0.0004394,0.0004035,1.089,0.001,0.001,0.91848,0.115,
,,,,,,,,
b78a0754100e227efd07a3246121fd94,***,,,,,,,
74f8324925049e692ded7c8f8131a7de,*,,,,,,,
2d9c0927c41fe00977c4cc751b5c52b4,***,,,,,,,
cb493cf3102179d939b8a47f700a786f,**,,,,,,,
5c2b47983d92cc3cc09bc005906b2212,**,,,,,,,
d2cd00fc747246ad6362f1c3987f7cdc,,,,,,,,
460704bd2880b6e0c87caa2070b20097,**,,,,,,,
6cbb4ad4bea065572ee15c90299997ed,,,,,,,,
f68daaca652da726aaabf841a3a3a4ba,***,,,,,,,
72b5e7b223e0904d6dd5bfea86bdae1c,**,,,,,,,
bc17a57fdb7451088e326bb258fe96cd,*,,,,,,,
f2d7b7ec22817e0585e8d3f87e4f6f6e,**,,,,,,,
e65fd9bdecd6971a6df6257338244e89,*,,,,,,,
57b76aadd6cd9eb434c84c4f8ea4265f,***,,,,,,,
dd7386872132054a57c15a92a42c1b0e,***,,,,,,,
5ca73d1ce0a4b8e42d36f3d0088dc937,**,,,,,,,
e36bdf6700966998f0c6929b13db80ab,**,,,,,,,
2ae0f52560c00c969f820ae6b6fb115f,.,,,,,,,
adbb1498f1dcfeed13db8c9f228f5eb4,***,,,,,,,
5c1a02107d6f21edc9e94690ac5a721c,,,,,,,,
f6334d26ed150d46dab2e4dbb7dcde62,**,,,,,,,
fe81b53d077a7fa4f3813377bd51caf4,***,,,,,,,
c2556d10d86d2961efe7110b18d380c7,***,,,,,,,
b95192f739d4edba244aa50a65ad657d,*,,,,,,,
e584c028a96c064102997c56b053955d,,,,,,,,
91d688c973fa105eac82ae34536569bc,**,,,,,,,
f427cc77a3175ac760d5b1556b65ba17,*,,,,,,,
ebd2450897a18d4158d92b6d6e950b26,**,,,,,,,
663c7e30015ac1dcc462560859bd61bf,,,,,,,,
305fad7794af19b61bd043d53cde28ec,*,,,,,,,
d1bf9c378fd51fc97553c2ef96454fa0,**,,,,,,,
1917ecc6a185cc9f86b3d6edfa1045fa,*,,,,,,,
5a5cd60c401650043551c33f344c8522,***,,,,,,,
e6abd30db0661d376573a4cd53529d2b,,,,,,,,
433ffe3e8472a48735636d27a91aa287,***,,,,,,,
e80b7ee7b8da33d2126ee5c1d716faa5,,,,,,,,
3e419195da70fbb707bf9446d00d2b93,.,,,,,,,
1b926b7a41ac4a734571c261084ad062,.,,,,,,,
1c855e0a65b01e49d69a1107c6efd89a,,,,,,,,
61d1a23dc17dfa7ed4b837b043abf54d,*,,,,,,,
35ba0ce07309312135a5e61c896e5c8a,*,,,,,,,
dc83596d4d0bd0e144aead7a53486fcd,**,,,,,,,
d542df649008db286bd71629af2ce256,,,,,,,,
9d9d8d6002b4372c44d757c208a933a1,,,,,,,,
cbe5eda5f66c5b741615a04bc622e9ef,,,,,,,,
7f6a890525da43722f2f49efd16d9f1c,,,,,,,,
e6e36c7acbdc33af814292da08b44b99,*,,,,,,,
230cf8978871a250f5f7ae8a91aadf94,.,,,,,,,
94a4cfe2e93c0e96a8c4a484650b6dfd,*,,,,,,,
bdafcd6a04c4a4b48d6ed4003175ba11,,,,,,,,
57daf041327295fe5f2adaae59924dfc,.,,,,,,,
85e78acdf58cb44cf3a48eb68f244438,.,,,,,,,
de64bf9fc57519eb73e7ede2e89fbc08,*,,,,,,,
4d919403e44693e74dc757c711e1262f,,,,,,,,
3df21f1a76bbc0b6441d81b9c20d5436,.,,,,,,,
dc8a27d3628bd0f7ea10d0f820db0d87,*,,,,,,,
a9207dfca445e406a42606624dde83e8,,,,,,,,
6bd60643c27bb01d3c586791409c405a,,,,,,,,
867652842eff53db521e70c458eebd5b,,,,,,,,
8dbddf131569936e06e1820a3d307e7e,,,,,,,,
a43d008f9f946bca0a7a5c804d664b0f,.,,,,,,,
a41d252e01ef0557ecb28e486eadb2a2,*,,,,,,,
cf1d17620411b1db17bdf391848911d5,,,,,,,,
e6ef23848e7b8ab80ce4ec4280b50428,,,,,,,,
5f427f21fc85bb3349b13f2a68434151,,,,,,,,
f0de0c4f6019300451f40781e070bb24,,,,,,,,
938e4a38a836791e865e35b7e909434d,,,,,,,,
85feda73cf45ba235f7adafc232dff67,*,,,,,,,
16a4e1b789e86549d417f71b28e735d7,*,,,,,,,
72fe0ee9b7d7514b96a0c6354c477740,***,,,,,,,
3ce1a6014257a94a37b9654e002e7ac7,*,,,,,,,
