Contrast: Hatched Egg_Unhatched Egg,,,,,,,,,,,,,
,,,,,,,,,,,,,
,average,sd,ratio,ava,avb,cumsum,p,,,,,,
b78a0754100e227efd07a3246121fd94,***,,,,,,,,,,,,
dd7386872132054a57c15a92a42c1b0e,**,,,,,,,,,,,,
ebd2450897a18d4158d92b6d6e950b26,*,,,,,,,,,,,,
e36bdf6700966998f0c6929b13db80ab,,,,,,,,,,,,,
f6334d26ed150d46dab2e4dbb7dcde62,,,,,,,,,,,,,
3b617940a8ae4d46db58d0a83793f0e8,,,,,,,,,,,,,
3e419195da70fbb707bf9446d00d2b93,,,,,,,,,,,,,
bc17a57fdb7451088e326bb258fe96cd,,,,,,,,,,,,,
787a3df59922afc90301151ea01b7c7b,,,,,,,,,,,,,
a43d008f9f946bca0a7a5c804d664b0f,.,,,,,,,,,,,,
dc83596d4d0bd0e144aead7a53486fcd,,,,,,,,,,,,,
f66cfb35942df465eef4c123275766fc,,,,,,,,,,,,,
71cd8596df4c7dd9ad798c07c7800f87,*,,,,,,,,,,,,
e65fd9bdecd6971a6df6257338244e89,*,,,,,,,,,,,,
03aeed40e95531cde1ff374146f1a068,,,,,,,,,,,,,
3df21f1a76bbc0b6441d81b9c20d5436,,,,,,,,,,,,,
081f42427bf6cf3bb2471f4efec3520e,**,,,,,,,,,,,,
c94a7d7e3f2dce0b4d4c4f6f849eb878,,,,,,,,,,,,,
ac6639741476abec934aac289e8e7564,,,,,,,,,,,,,
7685cb95fa77d91b70afb46485ac20a6,,,,,,,,,,,,,
336d367de8fd84bc93b4f8f23dc9dde2,.,,,,,,,,,,,,
57b76aadd6cd9eb434c84c4f8ea4265f,,,,,,,,,,,,,
fa73781222ed3d0cecfdd7d5a9c64c50,,,,,,,,,,,,,
06df666ee210020e2bb0dd5c0d82a206,,,,,,,,,,,,,
b89294ba58e3a73fc19e560bc01665bd,,,,,,,,,,,,,
5511e72b743af21ea2dc91d537bb4dfb,,,,,,,,,,,,,
610a48e1e2e6635df613b88712801f10,*,,,,,,,,,,,,
94a4cfe2e93c0e96a8c4a484650b6dfd,,,,,,,,,,,,,
5ca73d1ce0a4b8e42d36f3d0088dc937,**,,,,,,,,,,,,
9f961d0b7eadbbc47c9e1fc80a391778,,,,,,,,,,,,,
f427cc77a3175ac760d5b1556b65ba17,,,,,,,,,,,,,
b95192f739d4edba244aa50a65ad657d,,,,,,,,,,,,,
79f458b5176b6d4795e229c416de7a95,*,,,,,,,,,,,,
b0475c2d42ad84a03f80d70d9abfc717,,,,,,,,,,,,,
aec7654d709c1b1fb41185801f97bf7a,,,,,,,,,,,,,
8bb0004290ea6e9ce352f55350a9c5a7,,,,,,,,,,,,,
1b926b7a41ac4a734571c261084ad062,,,,,,,,,,,,,
72fe0ee9b7d7514b96a0c6354c477740,*,,,,,,,,,,,,
7898d61143c7a5628cdbfdd1754a6079,.,,,,,,,,,,,,
7989777e7b4a4a1a5e64e05489f0da27,,,,,,,,,,,,,
6bd60643c27bb01d3c586791409c405a,,,,,,,,,,,,,
a41d252e01ef0557ecb28e486eadb2a2,*,,,,,,,,,,,,
334e1b08a0d169bc507c922d0ae22e75,**,,,,,,,,,,,,
d24ee54b00141716673192d175ce8468,,,,,,,,,,,,,
8aca4a6dbf73163d249df1b1a6d544b8,,,,,,,,,,,,,
2aa85055ca53e68be32996467ff0414a,,,,,,,,,,,,,
f3b32ae8d911bb4d51354311513f7ab9,,,,,,,,,,,,,
1917ecc6a185cc9f86b3d6edfa1045fa,,,,,,,,,,,,,
d3dc1bb6adf5f414ef01e2f6a97ae0cc,.,,,,,,,,,,,,
d84619712b26f7e0c06943ebbebefc3c,,,,,,,,,,,,,
433ffe3e8472a48735636d27a91aa287,,,,,,,,,,,,,
e6ef23848e7b8ab80ce4ec4280b50428,.,,,,,,,,,,,,
9d744d4678cee65f0bbea832ee72a847,,,,,,,,,,,,,
e314931f1c7cad13aec2759b85ee4273,,,,,,,,,,,,,
d3c25a17251d966efda9c704331bde28,,,,,,,,,,,,,
8ec8cbd46a94f3eecd4ffed86c0ac8b3,.,,,,,,,,,,,,
bb3c28a8b55d7a8b86ebfe7f7387e6f3,.,,,,,,,,,,,,
c72b061874d0c49c72ef59e422d3e8ae,,,,,,,,,,,,,
baa4ef1d1a13fc40f49ed5be9bae17f2,,,,,,,,,,,,,
85feda73cf45ba235f7adafc232dff67,***,,,,,,,,,,,,
f847aebbbd18d2ea04d02b4369306c48,,,,,,,,,,,,,
dc8a27d3628bd0f7ea10d0f820db0d87,**,,,,,,,,,,,,
bdafcd6a04c4a4b48d6ed4003175ba11,,,,,,,,,,,,,
