Contrast: Hatched Egg_Unhatched Egg,,,,,,,,
,,,,,,,,
,average,sd,ratio,ava,avb,cumsum,p,
f7135fcd9d3004d495364ce50e3ba0a2,0.0021544,0.0155982,0.1381,0.000,0.004,0.80389,0.231,
06df666ee210020e2bb0dd5c0d82a206,0.0021279,0.0085134,0.2499,0.002,0.002,0.80638,0.557,
dc8a27d3628bd0f7ea10d0f820db0d87,0.0021209,0.002004,1.0583,0.004,0.002,0.80886,0.001,
1b926b7a41ac4a734571c261084ad062,0.0021141,0.0084518,0.2501,0.002,0.002,0.81133,0.443,
7989777e7b4a4a1a5e64e05489f0da27,0.0020809,0.003982,0.5226,0.003,0.002,0.81377,0.345,
79f458b5176b6d4795e229c416de7a95,0.0020619,0.0071347,0.289,0.000,0.004,0.81618,0.01,
35ba0ce07309312135a5e61c896e5c8a,0.0020291,0.002323,0.8735,0.004,0.001,0.81856,0.035,
85feda73cf45ba235f7adafc232dff67,0.0019438,0.0013987,1.3898,0.005,0.001,0.82083,0.001,
8aca4a6dbf73163d249df1b1a6d544b8,0.0019023,0.0059712,0.3186,0.004,0.000,0.82306,0.573,
e714cf26ae84fcc0cad46d5bd7186a39,0.0017128,0.0040656,0.4213,0.003,0.001,0.82506,0.205,
d1099e14450efe720a6b5844b64c63b6,0.0016759,0.0035458,0.4727,0.002,0.002,0.82702,0.001,
baa4ef1d1a13fc40f49ed5be9bae17f2,0.0016372,0.002906,0.5634,0.003,0.001,0.82894,0.02,
5dd02d0f89c239fd1e9b6abf2a561130,0.0016291,0.0014713,1.1073,0.004,0.001,0.83085,0.001,
8758879d625c1989b6a1f2ab09ea505f,0.0016201,0.0034692,0.467,0.003,0.000,0.83274,0.001,
395cf5f8cfe9f18126ca772f04bd9b66,0.0015862,0.0059064,0.2686,0.002,0.001,0.8346,0.76,
6ed2cbded69eb8ff12800f4d189b88c1,0.0015753,0.0034361,0.4585,0.002,0.001,0.83644,0.673,
aec7654d709c1b1fb41185801f97bf7a,0.0015743,0.0065112,0.2418,0.003,0.000,0.83829,0.96,
66ea5d31c57c6bc8657f13ced8b9261f,0.0015676,0.0028813,0.5441,0.003,0.000,0.84012,0.052,
832ea17f4c3cc9a97b06ee99684e1454,0.0015192,0.0037972,0.4001,0.002,0.001,0.8419,0.924,
f29fd025ded5591fa45443c97a8c710a,0.0015019,0.0034875,0.4307,0.001,0.003,0.84366,0.016,
a41d252e01ef0557ecb28e486eadb2a2,0.0014606,0.005154,0.2834,0.000,0.003,0.84537,0.009,
e6ef23848e7b8ab80ce4ec4280b50428,0.001424,0.0041874,0.3401,0.000,0.003,0.84703,0.012,
f3b32ae8d911bb4d51354311513f7ab9,0.0014027,0.0047747,0.2938,0.003,0.001,0.84868,0.601,
6dafbe26918731e3bc8c294838099e98,0.0013957,0.0087064,0.1603,0.000,0.003,0.85031,0.009,
c959f58c1b8be9807e157b0fa54f1a27,0.0013823,0.0043542,0.3175,0.002,0.001,0.85193,1,
8bb0004290ea6e9ce352f55350a9c5a7,0.0013687,0.0101967,0.1342,0.000,0.003,0.85353,0.473,
a7a147ba43fb5888f6b2452b85ca8569,0.0013648,0.001505,0.9068,0.002,0.002,0.85513,0.746,
bb3c28a8b55d7a8b86ebfe7f7387e6f3,0.001347,0.0025694,0.5242,0.003,0.001,0.8567,0.001,
5e4f944bf86157726cb89b516d622ffd,0.0013292,0.0014544,0.914,0.003,0.001,0.85826,0.001,
910e041c32e22a8da7c7aaa0191c9ac4,0.0013223,0.0046806,0.2825,0.002,0.001,0.85981,0.891,
487a17641df6be05e49d9e1ec726d2b5,0.0012756,0.0040423,0.3156,0.001,0.001,0.8613,0.436,
61e3a05af55019d8d29ea8ddbfee780d,0.0012574,0.0022728,0.5532,0.002,0.001,0.86277,0.601,
d84619712b26f7e0c06943ebbebefc3c,0.0012519,0.0030435,0.4113,0.002,0.001,0.86424,0.303,
8ec8cbd46a94f3eecd4ffed86c0ac8b3,0.0012178,0.0041673,0.2922,0.000,0.002,0.86566,0.039,
3aa25ee0ccf1764e818182eef9340b71,0.001214,0.0071353,0.1701,0.000,0.002,0.86708,0.017,
d24ee54b00141716673192d175ce8468,0.0012022,0.0037611,0.3197,0.001,0.002,0.86849,0.179,
e80b7ee7b8da33d2126ee5c1d716faa5,0.0012021,0.0044165,0.2722,0.001,0.001,0.8699,0.625,
a3e4812b21dfb4d85852ff5dc5984d90,0.0011851,0.002958,0.4006,0.000,0.002,0.87128,0.001,
f847aebbbd18d2ea04d02b4369306c48,0.001177,0.0026925,0.4371,0.002,0.000,0.87266,0.588,
016a38c286f8bd0508e89e6f23300f08,0.001135,0.002629,0.4317,0.002,0.001,0.87399,0.221,
066b695f2c9a7791eeb17079978e1129,0.001085,0.0061153,0.1774,0.000,0.002,0.87526,0.002,
ca9895ffec4072e8a8056f95071a6ae0,0.0010689,0.0017553,0.609,0.002,0.001,0.87651,0.001,
7f4a6c0157bab8ed866a416170c32aea,0.0010629,0.0079374,0.1339,0.000,0.002,0.87775,0.247,
89e6981e4b0468d2581157ab59de130e,0.0010181,0.0064893,0.1569,0.000,0.002,0.87895,0.13,
c72b061874d0c49c72ef59e422d3e8ae,0.0010124,0.0032212,0.3143,0.001,0.001,0.88013,0.476,
3ce1a6014257a94a37b9654e002e7ac7,0.0010037,0.0010933,0.918,0.002,0.001,0.88131,0.027,
062daff76602f04235c2d39d58315162,0.0009963,0.0006962,1.431,0.002,0.001,0.88247,0.001,
f9b061101095df90f921f6cf337b34b6,0.0009955,0.0058735,0.1695,0.000,0.002,0.88364,0.146,
d5169cd9970ac6c61bbfdd57fe9c89f1,0.0009701,0.0062188,0.156,0.000,0.002,0.88477,0.071,
,,,,,,,,
de64bf9fc57519eb73e7ede2e89fbc08,***,,,,,,,
6cbb4ad4bea065572ee15c90299997ed,.,,,,,,,
b78a0754100e227efd07a3246121fd94,***,,,,,,,
